head,relation,tail
冰箱,是,电器
猴子,是,陆生动物
人行天桥,是,建筑
狮子,是,陆生动物
书柜,是,家具
牙齿,是,身体部位
雨伞,是,工具
白菜,需要,水
白菜,需要,阳光
白菜,像,青菜
白菜,是,土中生长的
白菜,像,花
鼻子,需要,呼吸
鼻子,像,耳朵
鼻子,是,五官
冰箱,是,柜子
冰箱,需要,清洗
餐桌,有,桌布
餐桌,像,桌子
餐桌,可以,放碗
餐桌,需要,打扫
餐桌,需要,加工
餐桌,需要,清洁
车库,像,盒子
车库,像,地下室
衬衫,可以,保暖
衬衫,有,多种材质
衬衫,可以,打底
衬衫,有,线
耳朵,需要,保护
耳朵,需要,清洗
耳朵,可以,打耳洞
耳朵,是,小的
耳朵,像,蒲扇
帆船,是,水上工具
帆船,有,木板
帆船,有,桅杆
甘蔗,需要,水
甘蔗,有,水
甘蔗,有,糖
甘蔗,有,维生素
甘蔗,有,果肉
甘蔗,有,蔗糖
柑橘,是,甜的
柑橘,有,籽
柑橘,需要,营养
柑橘,有,果实
柑橘,是,好吃的
柑橘,像,灯笼
高速公路,可以,高速行驶
高速公路,需要,保养
高速公路,是,弯的
高速公路,有,油漆
鸽子,有,翅膀
鸽子,可以,送信
鸽子,有,脚
拐杖,可以,行走
拐杖,是,硬的
拐杖,是,医疗用品
拐杖,有,油漆
猴子,需要,水
猴子,像,猩猩
猴子,需要,睡觉
黄瓜,是,长的
黄瓜,需要,种植
黄瓜,有,把手
火车,需要,驾驶
火车,需要,铁轨
火车,可以,运输
火车,可以,载人
火车,有,车尾
火车,有,高铁
夹克,是,衣服
夹克,需要,缝纫
夹克,是,装备
夹克,需要,爱护
夹克,需要,晾干
肩膀,有,关节
剪刀,需要,小心
剪刀,有,螺丝
脚后跟,可以,行走
脚后跟,需要,穿袜子
脚后跟,是,厚的
轿车,可以,代步
轿车,需要,燃料
韭菜,可以,炒
卡车,需要,保养
卡车,需要,加油
卡车,可以,搬运
裤子,可以,穿
裤子,有,拉链
裤子,需要,熨烫
裤子,需要,制造
裤子,是,长的
裤子,有,多种型号
裤子,有,两条腿
裤子,可以,保护
筷子,像,棍棒
筷子,是,塑料
老虎,有,毛
老虎,有,耳朵
老虎,有,多种种类
老鼠,有,尾巴
老鼠,有,皮肤
老鼠,有,胡子
老鼠,可以,跑
立交桥,是,桥
萝卜,需要,空气
萝卜,需要,阳光
萝卜,像,胡罗卜
萝卜,是,绿色的
萝卜,像,土豆
麻雀,需要,阳光
麻雀,可以,捕虫
麻雀,有,两只脚
马桶,有,水箱
马桶,是,硬的
马桶,需要,消毒
猫头鹰,是,晚上的
猫头鹰,可以,捕猎
猫头鹰,有,大眼睛
猫头鹰,需要,老鼠
猫头鹰,像,鹰
猫头鹰,需要,水
猫头鹰,是,可爱的
毛衣,可以,买卖
毛衣,像,大衣
毛衣,像,外套
毛衣,有,袖子
茅草屋,需要,草
茅草屋,有,屋顶
茅草屋,有,窗户
茅草屋,是,简陋的
茅草屋,可以,挡风
茅草屋,可以,御寒
摩托车,需要,油
奶牛,需要,草
奶牛,需要,水
奶牛,是,家养的
奶牛,需要,保护
喷泉,可以,观赏
喷泉,是,景观
喷泉,是,装饰
喷泉,可以,娱乐
喷泉,是,泉水
喷泉,需要,建造
喷泉,有,多种样式
喷泉,是,雕塑
喷泉,需要,维护
喷泉,有,水管
苹果,需要,水
苹果,需要,空气
葡萄,需要,采摘
葡萄,是,酸的
葡萄,有,果实
葡萄,有,水
茄子,需要,水
茄子,需要,清洗
茄子,是,瓜
茄子,是,条状的
茄子,像,西红柿
茄子,像,月亮
茄子,有,茎
人行天桥,是,道路
人行天桥,需要,建造
人行天桥,有,扶手
人行天桥,是,安全的
人行天桥,有,钢筋
扫帚,可以,打扫
扫帚,像,扇子
扫帚,可以,清扫
沙发,是,舒服的
沙发,可以,买卖
沙发,有,布
沙发,是,长的
纱布,是,纺织品
纱布,可以,买卖
纱布,是,药
纱布,有,宽度
狮子,需要,睡觉
狮子,可以,吃人
狮子,可以,观赏
狮子,是,王
狮子,需要,领地
手掌,是,软的
手掌,有,血管
书柜,像,衣柜
天鹅,是,优美的
天鹅,有,脚
土豆,可以,炒
土豆,可以,饱腹
兔子,是,白色的
兔子,像,猫
兔子,是,灰色的
袜子,可以,保护
袜子,有,布
袜子,有,线
袜子,是,舒服的
袜子,有,多种材质
围巾,需要,清洗
围巾,是,衣服
围巾,可以,挡风
西瓜,可以,解渴
西瓜,有,瓜瓤
西瓜,可以,买卖
西瓜,有,水
西瓜,是,大的
西瓜,是,药
西瓜,有,肉
西瓜,有,种子
喜鹊,有,嘴巴
喜鹊,像,乌鸦
喜鹊,有,眼睛
喜鹊,可以,观赏
喜鹊,是,黑白的
喜鹊,是,喜庆的
香蕉,有,皮
香蕉,需要,空气
香蕉,需要,保鲜
牙齿,像,石头
牙齿,像,宝石
牙齿,像,钻石
燕子,像,大雁
燕子,像,喜鹊
燕子,可以,迁徙
椅子,有,座位
雨伞,可以,挡雨
雨伞,有,把手
雨伞,像,雨衣
直升机,有,发动机
直升机,像,蜻蜓
