病症    病症,病,症狀    illness,symptom
電子產品    電子產品    electronic_device
動物    動物    animal
服裝    服裝,衣服   clothes
葷肉    葷,肉類 meat
家具    家具    furniture
家用電器    電器    household_appliance
交通工具    交通工具,車,通勤    tranportation
人際關係    關係,人際關係,稱呼,稱謂 kinsman
身體部位    身體部位,部位   body_part
生活用品    生活用品,日用品 /
時間    /   day,festival
地點    場所,空間,地方,地點 place,location,room
蔬果    蔬菜,水果   vegetable,fruit
水產    海鮮,魚類,魚    seafood,fish
天氣    天氣,氣候,季節  weather,climate,season
鞋與配飾    鞋子,配飾   shoe,accessory
藥品    藥,藥品,藥物    medicine
醫療器材與手段  醫療器材,療法   therapy,medical_device
飲品    飲料,湯,飲品    drink,soup
職業    職業,身份   job
植物    植物    plant
主食與糕點  主食,食物,點心,零食  food,dessert
