,Source,Target,Strength
0,是-蔬菜,是-植物,6
1,是-蔬菜,需要-水,6
2,是-蔬菜,需要-阳光,6
3,是-蔬菜,是-食物,6
4,是-蔬菜,需要-空气,6
5,是-蔬菜,可以-炒,6
6,是-蔬菜,需要-土,6
7,是-蔬菜,需要-种植,6
8,是-蔬菜,有-茎,6
9,是-植物,有-叶子,8
10,是-植物,需要-水,12
11,是-植物,需要-阳光,12
12,是-植物,是-食物,12
13,是-植物,是-绿色的,8
14,是-植物,需要-空气,12
15,是-植物,可以-炒,6
16,是-植物,需要-肥料,11
17,是-植物,需要-土,12
18,是-植物,有-水,7
19,是-植物,有-维生素,8
20,是-植物,需要-清洗,7
21,是-植物,需要-种植,12
22,是-植物,有-茎,6
23,是-植物,有-营养,9
24,是-植物,像-球,7
25,是-植物,有-多种种类,9
26,是-植物,可以-买卖,8
27,是-植物,是-圆形,7
28,是-植物,是-水果,7
29,是-植物,是-甜的,6
30,是-植物,有-皮,10
31,是-植物,有-果肉,8
32,是-植物,需要-采摘,9
33,是-植物,需要-营养,6
34,是-植物,有-果实,6
35,是-植物,有-种子,6
36,有-叶子,需要-水,8
37,有-叶子,需要-阳光,8
38,有-叶子,是-食物,8
39,有-叶子,是-绿色的,6
40,有-叶子,需要-空气,8
41,有-叶子,需要-肥料,7
42,有-叶子,需要-土,8
43,有-叶子,有-维生素,7
44,有-叶子,需要-种植,8
45,有-叶子,有-营养,6
46,有-叶子,有-皮,6
47,需要-水,需要-阳光,18
48,需要-水,是-白色的,10
49,需要-水,是-食物,17
50,需要-水,是-绿色的,8
51,需要-水,需要-空气,24
52,需要-水,可以-炒,6
53,需要-水,需要-肥料,11
54,需要-水,需要-土,12
55,需要-水,有-水,7
56,需要-水,有-维生素,8
57,需要-水,是-黄色的,7
58,需要-水,需要-呼吸,6
59,需要-水,需要-清洗,7
60,需要-水,需要-种植,12
61,需要-水,有-茎,6
62,需要-水,有-营养,9
63,需要-水,像-球,8
64,需要-水,有-多种种类,15
65,需要-水,有-毛,9
66,需要-水,需要-保护,11
67,需要-水,可以-买卖,8
68,需要-水,是-圆形,7
69,需要-水,有-多种颜色,7
70,需要-水,是-水果,7
71,需要-水,是-甜的,6
72,需要-水,有-皮,10
73,需要-水,有-果肉,8
74,需要-水,需要-采摘,9
75,需要-水,需要-营养,6
76,需要-水,有-果实,6
77,需要-水,有-种子,6
78,需要-水,是-黑色的,7
79,需要-水,可以-飞,6
80,需要-水,是-动物,12
81,需要-水,是-鸟,6
82,需要-水,需要-食物,12
83,需要-水,有-翅膀,6
84,需要-水,有-羽毛,6
85,需要-水,有-嘴巴,12
86,需要-水,有-爪子,9
87,需要-水,需要-睡觉,12
88,需要-水,有-眼睛,12
89,需要-水,有-头,8
90,需要-水,是-生物,6
91,需要-水,有-脚,6
92,需要-水,有-尾巴,10
93,需要-水,是-哺乳类,6
94,需要-水,有-鼻子,7
95,需要-水,有-四肢,7
96,需要-水,可以-跑,6
97,需要-水,可以-捕猎,8
98,需要-水,可以-观赏,7
99,需要-水,可以-繁衍,6
100,需要-阳光,是-白色的,9
101,需要-阳光,是-食物,15
102,需要-阳光,是-绿色的,8
103,需要-阳光,需要-空气,18
104,需要-阳光,可以-炒,6
105,需要-阳光,需要-肥料,11
106,需要-阳光,需要-土,12
107,需要-阳光,有-水,7
108,需要-阳光,有-维生素,8
109,需要-阳光,是-黄色的,6
110,需要-阳光,需要-清洗,10
111,需要-阳光,需要-种植,12
112,需要-阳光,有-茎,6
113,需要-阳光,有-营养,9
114,需要-阳光,像-球,7
115,需要-阳光,有-多种种类,14
116,需要-阳光,需要-保护,6
117,需要-阳光,可以-买卖,11
118,需要-阳光,是-圆形,7
119,需要-阳光,有-多种颜色,10
120,需要-阳光,是-水果,7
121,需要-阳光,是-甜的,6
122,需要-阳光,有-皮,10
123,需要-阳光,有-果肉,8
124,需要-阳光,需要-采摘,9
125,需要-阳光,需要-营养,6
126,需要-阳光,有-果实,6
127,需要-阳光,有-种子,6
128,需要-阳光,是-黑色的,6
129,需要-阳光,是-动物,6
130,需要-阳光,需要-食物,6
131,需要-阳光,有-嘴巴,6
132,需要-阳光,有-爪子,6
133,需要-阳光,需要-睡觉,6
134,需要-阳光,有-眼睛,6
135,需要-阳光,有-头,6
136,是-白色的,是-食物,7
137,是-白色的,需要-空气,10
138,是-白色的,需要-清洗,6
139,是-白色的,有-多种种类,10
140,是-白色的,需要-保护,7
141,是-白色的,可以-买卖,6
142,是-白色的,有-多种颜色,7
143,是-白色的,是-动物,7
144,是-白色的,需要-食物,7
145,是-白色的,有-嘴巴,7
146,是-白色的,需要-睡觉,7
147,是-白色的,有-眼睛,7
148,是-白色的,有-尾巴,6
149,是-食物,是-绿色的,8
150,是-食物,需要-空气,17
151,是-食物,可以-炒,6
152,是-食物,需要-肥料,11
153,是-食物,需要-土,12
154,是-食物,有-水,7
155,是-食物,有-维生素,8
156,是-食物,需要-清洗,7
157,是-食物,需要-种植,12
158,是-食物,有-茎,6
159,是-食物,有-营养,9
160,是-食物,像-球,8
161,是-食物,有-多种种类,13
162,是-食物,可以-买卖,8
163,是-食物,是-圆形,7
164,是-食物,有-多种颜色,6
165,是-食物,是-水果,7
166,是-食物,是-甜的,6
167,是-食物,有-皮,10
168,是-食物,有-果肉,8
169,是-食物,需要-采摘,9
170,是-食物,需要-营养,6
171,是-食物,有-果实,6
172,是-食物,有-种子,6
173,是-绿色的,需要-空气,8
174,是-绿色的,需要-肥料,7
175,是-绿色的,需要-土,8
176,是-绿色的,有-水,6
177,是-绿色的,有-维生素,6
178,是-绿色的,需要-清洗,7
179,是-绿色的,需要-种植,8
180,是-绿色的,有-营养,6
181,是-绿色的,有-多种种类,6
182,是-绿色的,有-皮,6
183,是-绿色的,需要-采摘,6
184,需要-空气,可以-炒,6
185,需要-空气,需要-肥料,11
186,需要-空气,需要-土,12
187,需要-空气,有-水,7
188,需要-空气,有-维生素,8
189,需要-空气,是-黄色的,7
190,需要-空气,需要-呼吸,7
191,需要-空气,需要-清洗,8
192,需要-空气,需要-种植,12
