Source,relation,Target
安全带,是,工具
工具,是,人造物
安全帽,是,工具
安慰奶嘴,是,餐具
餐具,是,人造物
鹌鹑,是,鸟
鸟,是,动物
鹌鹑蛋,是,固态干粮
固态干粮,是,食物
按键,是,工具
按摩器,是,电器
电器,是,人造物
按钮,是,电器
八宝粥,是,酒水饮料
酒水饮料,是,食物
八哥,是,鸟
巴士,是,车
车,是,交通工具
芭蕾舞裙,是,服饰
服饰,是,人造物
霸王龙,是,陆生动物
陆生动物,是,动物
吧台,是,建筑
建筑,是,人造物
白菜,是,蔬菜
蔬菜,是,植物
白饭,是,固态干粮
白果,是,水果
水果,是,植物
白桦树,是,树木
树木,是,植物
白酒,是,酒水饮料
白萝卜,是,蔬菜
白皮松,是,树木
白砂糖,是,调料
调料,是,食物
白水,是,酒水饮料
白糖,是,调料
白杨,是,树木
白蚁,是,昆虫
昆虫,是,动物
白银,是,自然物
自然物,是,自然物
白粥,是,酒水饮料
百合,是,花草
花草,是,植物
百科全书,是,工具
百事可乐,是,酒水饮料
百香果,是,水果
柏树,是,树木
柏油路,是,工具
摆钟,是,工具
扳手,是,工具
斑马,是,陆生动物
板栗,是,水果
棒棒糖,是,固态干粮
包,是,工具
包装纸,是,工具
包子,是,固态干粮
薄荷,是,水果
宝石,是,自然物
保龄球,是,运动器材
运动器材,是,人造物
保鲜膜,是,工具
保险柜,是,家具
家具,是,人造物
报警器,是,电器
报纸,是,工具
豹子,是,陆生动物
鲍鱼,是,水生动物
水生动物,是,动物
爆米花,是,固态干粮
杯垫,是,餐具
杯子,是,餐具
背包,是,工具
背带裤,是,服饰
背心,是,服饰
被子,是,工具
绷带,是,医疗用品
医疗用品,是,人造物
蹦床,是,玩具
玩具,是,人造物
鼻环,是,服饰
鼻烟壶,是,工具
鼻子,是,身体部位
身体部位,是,身体部位
匕首,是,武器
武器,是,人造物
比基尼泳装,是,服饰
比萨,是,固态干粮
笔记本电脑,是,电器
笔芯,是,工具
碧螺春,是,酒水饮料
壁橱,是,家具
壁画,是,建筑
避雷针,是,工具
避孕套,是,工具
蝙蝠,是,鸟
鞭子,是,武器
扁豆,是,蔬菜
变色龙,是,陆生动物
便盆,是,工具
辫子,是,身体部位
槟榔,是,水果
冰雹,是,自然物
冰棍,是,固态干粮
冰红茶,是,酒水饮料
冰咖啡,是,酒水饮料
冰块,是,自然物
冰淇淋,是,固态干粮
冰淇淋蛋糕,是,固态干粮
冰球,是,运动器材
冰山,是,建筑
冰糖,是,调料
冰糖葫芦,是,固态干粮
冰箱,是,电器
兵马俑,是,建筑
饼干,是,固态干粮
波斯猫,是,陆生动物
玻璃,是,工具
玻璃切割机,是,电器
玻璃水杯,是,餐具
玻璃珠,是,玩具
菠菜,是,蔬菜
菠萝汁,是,酒水饮料
簸箕,是,工具
捕蝇草,是,花草
不倒翁,是,玩具
布丁,是,固态干粮
步枪,是,武器
彩虹,是,自然物
彩票,是,工具
彩旗,是,工具
彩色电视,是,电器
彩陶,是,工具
菜板,是,工具
菜籽油,是,酒水饮料
餐刀,是,餐具
餐巾纸,是,工具
餐桌,是,家具
蚕,是,昆虫
蚕豆,是,蔬菜
苍鹰,是,鸟
苍蝇,是,昆虫
藏獒犬,是,陆生动物
藏红花,是,花草
草,是,花草
草帽,是,服饰
草莓,是,水果
草莓酱,是,调料
草鱼,是,水生动物
测谎仪,是,电器
叉子,是,餐具
插头,是,电器
插线板,是,电器
插座,是,电器
茶,是,酒水饮料
茶包,是,酒水饮料
茶壶,是,餐具
茶花,是,花草
茶碗,是,餐具
刹车踏板,是,工具
蟾蜍,是,陆生动物
敞篷跑车,是,车
唱片,是,乐器
乐器,是,人造物
炒锅,是,餐具
炒面,是,固态干粮
车窗,是,工具
车库,是,建筑
车辆,是,车
车轮,是,工具
车门,是,工具
车票,是,工具
衬衫,是,服饰
蛏子,是,水生动物
橙汁,是,酒水饮料
秤,是,工具
尺子,是,工具
齿轮,是,工具
冲浪板,是,工具
充电器,是,电器
抽水马桶,是,家具
抽屉,是,家具
臭豆腐,是,固态干粮
臭鼬,是,陆生动物
出租车,是,车
除草机,是,电器
锄头,是,工具
雏菊,是,花草
橱柜,是,家具
储蓄罐,是,工具
穿山甲,是,陆生动物
传真机,是,电器
窗户,是,工具
窗帘,是,家具
床,是,家具
床垫,是,家具
床罩,是,家具
创可贴,是,医疗用品
垂柳,是,树木
锤子,是,工具
春卷,是,固态干粮
纯净水,是,酒水饮料
磁带,是,工具
磁铁,是,工具
刺刀,是,武器
刺猬,是,陆生动物
葱,是,蔬菜
醋,是,调料
催泪弹,是,武器
搓衣板,是,工具
锉刀,是,工具
打底裤,是,服饰
打气筒,是,工具
打印机,是,电器
大饼,是,固态干粮
大豆,是,蔬菜
大灰狼,是,陆生动物
大理石,是,自然物
大米,是,固态干粮
大脑,是,身体部位
大炮,是,武器
大蒜,是,蔬菜
大提琴,是,乐器
大头菜,是,蔬菜
大头针,是,工具
大腿,是,身体部位
大象,是,陆生动物
大猩猩,是,陆生动物
大衣,是,服饰
大枣,是,水果
带鱼,是,水生动物
担架,是,医疗用品
单簧管,是,乐器
单肩包,是,服饰
单人床,是,家具
弹簧,是,工具
弹簧床垫,是,家具
弹簧刀,是,武器
弹药,是,武器
蛋糕,是,固态干粮
蛋黄,是,固态干粮
蛋卷,是,固态干粮
蛋卷冰淇淋,是,固态干粮
刀,是,武器
刀豆,是,蔬菜
导弹,是,武器
导盲犬,是,陆生动物
稻草人,是,工具
灯,是,电器
灯笼,是,工具
灯笼椒,是,蔬菜
灯泡,是,电器
灯塔,是,建筑
灯罩,是,工具
地球,是,自然物
地毯,是,家具
地铁,是,车
地图,是,工具
帝王蟹,是,水生动物
电报,是,电器
电冰箱,是,电器
电池,是,电器
电动汽车,是,车
电动牙刷,是,电器
电风扇,是,电器
电话簿,是,工具
电话亭,是,建筑
电吉他,是,乐器
电锯,是,电器
电路板,是,电器
电脑键盘,是,电器
电脑屏幕,是,电器
电脑主机,是,电器
电视,是,电器
电视天线,是,电器
电梯,是,电器
电蚊拍,是,电器
电线杆,是,电器
电影,是,工具
电影胶片,是,工具
电子天平,是,工具
电子显微镜,是,工具
貂皮大衣,是,服饰
雕塑,是,工具
吊车,是,车
吊床,是,工具
吊桥,是,建筑
