Concept,Rel,Feature,Frequency,上级类别,下级类别,impair
白菜,是,是-蔬菜,23.5714285714286,植物,蔬菜,0
白菜,可以,可以-食用,17.1428571428571,植物,蔬菜,1
白菜,是,是-植物,16.0714285714286,植物,蔬菜,0
白菜,有,有-叶子,16.0714285714286,植物,蔬菜,0
白菜,需要,需要-水,13.9285714285714,植物,蔬菜,1
白菜,需要,需要-阳光,11.7857142857143,植物,蔬菜,1
白菜,是,是-白色的,10.7142857142857,植物,蔬菜,0
白菜,是,是-食物,10.7142857142857,植物,蔬菜,0
白菜,有,有-菜叶,9.64285714285714,植物,蔬菜,0
白菜,是,是-绿色的,8.57142857142857,植物,蔬菜,0
白菜,需要,需要-空气,8.57142857142857,植物,蔬菜,1
白菜,有,有-根,8.57142857142857,植物,蔬菜,1
白菜,可以,可以-炒,7.5,植物,蔬菜,0
白菜,需要,需要-肥料,7.5,植物,蔬菜,0
白菜,需要,需要-土,7.5,植物,蔬菜,0
白菜,有,有-水,5.35714285714286,植物,蔬菜,0
白菜,有,有-维生素,4.28571428571429,植物,蔬菜,0
白菜,是,是-黄色的,3.21428571428571,植物,蔬菜,1
白菜,是,是-青菜,3.21428571428571,植物,蔬菜,1
白菜,像,像-卷心菜,3.21428571428571,植物,蔬菜,0
白菜,像,像-青菜,3.21428571428571,植物,蔬菜,1
白菜,像,像-娃娃菜,3.21428571428571,植物,蔬菜,0
白菜,像,像-玉石,3.21428571428571,植物,蔬菜,0
白菜,需要,需要-呼吸,3.21428571428571,植物,蔬菜,0
白菜,需要,需要-清洗,3.21428571428571,植物,蔬菜,1
白菜,需要,需要-种植,3.21428571428571,植物,蔬菜,1
白菜,有,有-菜根,3.21428571428571,植物,蔬菜,0
白菜,有,有-茎,3.21428571428571,植物,蔬菜,1
白菜,有,有-纤维,3.21428571428571,植物,蔬菜,1
白菜,有,有-营养,3.21428571428571,植物,蔬菜,1
白菜,可以,可以-切,2.14285714285714,植物,蔬菜,0
白菜,可以,可以-腌制,2.14285714285714,植物,蔬菜,1
白菜,是,是-土中生长的,2.14285714285714,植物,蔬菜,1
白菜,是,是-椭圆形,2.14285714285714,植物,蔬菜,0
白菜,像,像-包菜,2.14285714285714,植物,蔬菜,0
白菜,像,像-翡翠,2.14285714285714,植物,蔬菜,1
白菜,像,像-花,2.14285714285714,植物,蔬菜,1
白菜,像,像-胖娃娃,2.14285714285714,植物,蔬菜,1
白菜,像,像-球,2.14285714285714,植物,蔬菜,0
白菜,需要,需要-买,2.14285714285714,植物,蔬菜,1
白菜,需要,需要-杀虫,2.14285714285714,植物,蔬菜,0
白菜,需要,需要-生长,2.14285714285714,植物,蔬菜,0
白菜,有,有-白菜帮,2.14285714285714,植物,蔬菜,0
白菜,有,有-帮子,2.14285714285714,植物,蔬菜,1
白菜,有,有-菜心,2.14285714285714,植物,蔬菜,0
白菜,有,有-多种种类,2.14285714285714,植物,蔬菜,0
鼻子,需要,需要-呼吸,26.0,身体部位,身体部位,0
鼻子,是,是-器官,20.0,身体部位,身体部位,1
鼻子,有,有-鼻孔,13.0,身体部位,身体部位,1
鼻子,有,有-毛,12.0,身体部位,身体部位,0
鼻子,有,有-鼻毛,10.0,身体部位,身体部位,0
鼻子,有,有-孔,9.0,身体部位,身体部位,0
鼻子,需要,需要-保护,7.0,身体部位,身体部位,0
鼻子,其他,其他-动物,6.0,身体部位,身体部位,0
鼻子,是,是-人的,5.0,身体部位,身体部位,1
鼻子,是,是-身体部位,5.0,身体部位,身体部位,0
鼻子,需要,需要-清洗,5.0,身体部位,身体部位,1
鼻子,有,有-鼻涕,5.0,身体部位,身体部位,0
鼻子,有,有-两个孔,5.0,身体部位,身体部位,0
鼻子,可以,可以-闻气味,4.0,身体部位,身体部位,0
鼻子,可以,可以-嗅,4.0,身体部位,身体部位,1
鼻子,需要,需要-空气,4.0,身体部位,身体部位,0
鼻子,像,像-耳朵,3.0,身体部位,身体部位,0
鼻子,像,像-三角形,3.0,身体部位,身体部位,0
鼻子,像,像-山,3.0,身体部位,身体部位,1
鼻子,有,有-鼻梁,3.0,身体部位,身体部位,0
鼻子,有,有-骨骼,3.0,身体部位,身体部位,0
鼻子,有,有-肌肉,3.0,身体部位,身体部位,1
鼻子,可以,可以-呼吸空气,2.0,身体部位,身体部位,1
鼻子,可以,可以-流鼻血,2.0,身体部位,身体部位,1
鼻子,可以,可以-擤鼻涕,2.0,身体部位,身体部位,0
鼻子,是,是-软的,2.0,身体部位,身体部位,0
鼻子,是,是-五官,2.0,身体部位,身体部位,1
鼻子,像,像-插座,2.0,身体部位,身体部位,0
鼻子,像,像-大蒜,2.0,身体部位,身体部位,1
鼻子,像,像-漏斗,2.0,身体部位,身体部位,0
鼻子,像,像-山洞,2.0,身体部位,身体部位,0
鼻子,需要,需要-畅通,2.0,身体部位,身体部位,0
鼻子,需要,需要-清洁,2.0,身体部位,身体部位,0
鼻子,需要,需要-清理,2.0,身体部位,身体部位,0
鼻子,有,有-毛孔,2.0,身体部位,身体部位,0
鼻子,有,有-肉,2.0,身体部位,身体部位,1
冰箱,需要,需要-电,25.1612903225806,人造物,电器,0
冰箱,是,是-电器,19.3548387096774,人造物,电器,0
冰箱,可以,可以-冷藏,17.4193548387097,人造物,电器,0
冰箱,可以,可以-冷冻,17.4193548387097,人造物,电器,1
冰箱,可以,可以-保鲜,13.5483870967742,人造物,电器,0
冰箱,是,是-家里的,13.5483870967742,人造物,电器,1
冰箱,有,有-门,11.6129032258065,人造物,电器,0
冰箱,可以,可以-保存食物,8.70967741935484,人造物,电器,0
冰箱,是,是-柜子,6.7741935483871,人造物,电器,1
冰箱,像,像-衣柜,5.80645161290323,人造物,电器,0
冰箱,可以,可以-储物,4.83870967741935,人造物,电器,0
冰箱,像,像-箱子,4.83870967741935,人造物,电器,0
冰箱,有,有-灯,4.83870967741935,人造物,电器,1
冰箱,有,有-隔层,4.83870967741935,人造物,电器,1
冰箱,需要,需要-清洗,3.87096774193548,人造物,电器,1
冰箱,有,有-多种型号,3.87096774193548,人造物,电器,1
冰箱,可以,可以-买卖,2.90322580645161,人造物,电器,0
冰箱,是,是-工具,2.90322580645161,人造物,电器,0
冰箱,是,是-家具,2.90322580645161,人造物,电器,0
冰箱,是,是-冷的,2.90322580645161,人造物,电器,1
冰箱,是,是-长方形,2.90322580645161,人造物,电器,0
冰箱,像,像-冰窖,2.90322580645161,人造物,电器,0
冰箱,像,像-洗衣机,2.90322580645161,人造物,电器,1
冰箱,需要,需要-电源,2.90322580645161,人造物,电器,0
冰箱,有,有-抽屉,2.90322580645161,人造物,电器,0
冰箱,有,有-多种品牌,2.90322580645161,人造物,电器,0
冰箱,可以,可以-冰冻,1.93548387096774,人造物,电器,1
冰箱,可以,可以-储存食物,1.93548387096774,人造物,电器,0
冰箱,可以,可以-冻冰块,1.93548387096774,人造物,电器,1
冰箱,可以,可以-降温,1.93548387096774,人造物,电器,0
冰箱,是,是-设备,1.93548387096774,人造物,电器,0
冰箱,像,像-橱柜,1.93548387096774,人造物,电器,0
冰箱,像,像-盒子,1.93548387096774,人造物,电器,0
冰箱,像,像-自动售货机,1.93548387096774,人造物,电器,1
冰箱,需要,需要-保养,1.93548387096774,人造物,电器,0
冰箱,需要,需要-充电,1.93548387096774,人造物,电器,0
冰箱,需要,需要-清洁,1.93548387096774,人造物,电器,0
冰箱,有,有-多种种类,1.93548387096774,人造物,电器,0
冰箱,有,有-格子,1.93548387096774,人造物,电器,1
冰箱,有,有-食物,1.93548387096774,人造物,电器,0
餐桌,是,是-家具,14.0,人造物,家具,0
餐桌,是,是-木的,14.0,人造物,家具,1
餐桌,有,有-腿,14.0,人造物,家具,0
餐桌,可以,可以-进食,12.0,人造物,家具,0
餐桌,是,是-桌子,10.0,人造物,家具,0
餐桌,有,有-桌面,9.0,人造物,家具,0
餐桌,可以,可以-储物,6.0,人造物,家具,0
餐桌,是,是-方形的,6.0,人造物,家具,0
餐桌,需要,需要-清洗,6.0,人造物,家具,1
餐桌,是,是-圆形,5.0,人造物,家具,0
餐桌,像,像-茶几,5.0,人造物,家具,0
餐桌,需要,需要-制造,5.0,人造物,家具,0
餐桌,有,有-多种形状,5.0,人造物,家具,1
餐桌,有,有-桌布,5.0,人造物,家具,0
餐桌,可以,可以-摆放,4.0,人造物,家具,0
餐桌,像,像-桌子,4.0,人造物,家具,0
餐桌,需要,需要-擦,4.0,人造物,家具,0
餐桌,有,有-多种种类,4.0,人造物,家具,0
餐桌,有,有-四条腿,4.0,人造物,家具,0
餐桌,是,是-餐具,3.0,人造物,家具,0
餐桌,是,是-工具,3.0,人造物,家具,1
餐桌,需要,需要-清理,3.0,人造物,家具,1
餐桌,有,有-餐具,3.0,人造物,家具,0
餐桌,有,有-多种颜色,3.0,人造物,家具,1
